title,handle,status,variants,availableForSaleVariants,trackedVariants,totalInventory,policies
"North & Pearl Iridescent Pendant Necklace","north-pearl-iridescent-pendant-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Initial Shell Necklace","north-pearl-initial-shell-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heart Keepsake Necklace","north-pearl-heart-keepsake-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Flower Nail Bangle","north-pearl-flower-nail-bangle","ACTIVE","1","1","0","0","DENY"
"North & Pearl Color Accent Cuff","north-pearl-color-accent-cuff","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Accent Bracelet","north-pearl-sparkle-accent-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bridal Water Drop Set","north-pearl-bridal-water-drop-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Hollow Flower Bangle Set","north-pearl-hollow-flower-bangle-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Pulse Bracelet","north-pearl-sparkle-pulse-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Mixed Charm Bangle","north-pearl-mixed-charm-bangle","ACTIVE","1","1","0","0","DENY"
"North & Pearl Pink Heart Bow Bracelet","north-pearl-pink-heart-bow-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Flower Necklace","north-pearl-dainty-flower-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Clover Charm Bracelet","north-pearl-clover-charm-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Twine Band Ring","north-pearl-twine-band-ring","ACTIVE","1","1","0","0","DENY"
"North & Pearl Warm Bead Stretch Bracelet","north-pearl-warm-bead-stretch-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Chunky Bead Bracelet","north-pearl-chunky-bead-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl V Water Drop Jewelry Set","north-pearl-v-water-drop-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sleek Flex Bracelet","north-pearl-sleek-flex-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sweetheart Oval Pendant Necklace","north-pearl-sweetheart-pendant-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Halo Bracelet","north-pearl-sparkle-halo-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Modern Statement Ring","north-pearl-modern-statement-ring","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heart Bracelet","north-pearl-heart-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Row Bracelet","north-pearl-sparkle-row-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Smooth Flex Bracelet","north-pearl-smooth-flex-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bead Bracelet","north-pearl-bead-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Link Bracelet","north-pearl-sparkle-link-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heart Charm Necklace","north-pearl-heart-charm-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bloom Charm Bracelet","north-pearl-bloom-charm-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heart Earrings","north-pearl-heart-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Garden Bloom Bracelet","north-pearl-garden-bloom-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Flower Jewelry Set","north-pearl-flower-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Oval Link Bracelet","north-pearl-polished-link-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Floral Accent Bracelet","north-pearl-floral-accent-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Modern Drop Earrings","north-pearl-modern-drop-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heart Ring","north-pearl-heart-ring","ACTIVE","1","1","0","0","DENY"
"North & Pearl Classic Name Necklace","north-pearl-name-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sculpted Heart Pendant","north-pearl-heart-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heart Jewelry Set","north-pearl-heart-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Oval Link Bracelet","north-pearl-signature-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Classic Initial Necklace","north-pearl-initial-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Script Floating Name Necklace","north-pearl-name-necklace-6152","ACTIVE","1","1","0","0","DENY"
"North & Pearl Framed Initial Necklace","north-pearl-initial-necklace-6868","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Bracelet","north-pearl-sparkle-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Script Name Necklace","north-pearl-name-necklace-5330","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Letter Pendant","north-pearl-letter-necklace-6404","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Polished Name Necklace","north-pearl-name-necklace-7262","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Letter Necklace","north-pearl-letter-necklace-0021","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Drop Necklace","north-pearl-sparkle-necklace-2894","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Accent Necklace","north-pearl-sparkle-necklace-5629","ACTIVE","1","1","0","0","DENY"
"North & Pearl Petite Love Pendant","north-pearl-heart-necklace-4710","ACTIVE","1","1","0","0","DENY"
"North & Pearl Custom Name Pendant","north-pearl-name-necklace-1832","ACTIVE","1","1","0","0","DENY"
"North & Pearl Flower Earrings","north-pearl-flower-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Floating Script Name Necklace","north-pearl-name-necklace-4075","ACTIVE","1","1","0","0","DENY"
"North & Pearl Custom Script Pendant","north-pearl-name-necklace-2338","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Initial Charm","north-pearl-initial-necklace-6130","ACTIVE","1","1","0","0","DENY"
"North & Pearl Clover Earrings","north-pearl-clover-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Letter Necklace","north-pearl-letter-necklace-9008","ACTIVE","1","1","0","0","DENY"
"North & Pearl Clover Bracelet","north-pearl-clover-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Sparkle Ring","north-pearl-sparkle-ring-4269","ACTIVE","1","1","0","0","DENY"
"North & Pearl Water Drop Jewelry Set","north-pearl-water-drop-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sweet Heart Keepsake Necklace","north-pearl-heart-necklace-1947","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Script Name Necklace","north-pearl-name-necklace-1996","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layered Initial Necklace","north-pearl-initial-necklace-1814","ACTIVE","1","1","0","0","DENY"
"North & Pearl Oval Link Bracelet","north-pearl-chain-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bead Earrings","north-pearl-bead-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Minimal Letter Pendant","north-pearl-letter-necklace-4171","ACTIVE","1","1","0","0","DENY"
"North & Pearl Smooth Layering Bracelet","north-pearl-snake-chain-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bead Jewelry Set","north-pearl-bead-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Initial Pendant","north-pearl-initial-necklace-6010","ACTIVE","1","1","0","0","DENY"
